id,capacity_mw,capacity_log_mw,plant_age,abs_latitude,latitude,longitude,age_x_capacity,fuel_group,primary_fuel,other_fuel1,owner_bucket,capacity_band,lat_band,lon_band,underperforming
1,2.9,1.3609765531356006,8.0,38.2531,38.2531,-121.2789,10.887812425084805,renewable,Solar,__NONE__,__OTHER_OWNER__,small,lat_bin_3,lon_bin_4,0
2,36.0,3.6109179126442243,7.0,43.6122,43.6122,-94.1919,25.27642538850957,renewable,Wind,__NONE__,__OTHER_OWNER__,large,lat_bin_4,lon_bin_6,0
3,2.0,1.0986122886681096,7.0,34.7975,34.7975,-77.5431,7.690286020676767,other,Waste,__NONE__,__OTHER_OWNER__,tiny,lat_bin_3,lon_bin_8,0
4,10.0,2.3978952727983707,4.0,43.965,43.965,-117.2581,9.591581091193483,renewable,Solar,__NONE__,Cypress Creek Renewables,medium,lat_bin_4,lon_bin_5,0
5,1794.0999999999997,7.492816009677024,44.25946156847408,40.7978,40.7978,-75.1054,331.6280022199476,fossil,Gas,Oil,__OTHER_OWNER__,utility,lat_bin_4,lon_bin_8,0
6,12.4,2.5952547069568657,20.016129032257595,32.7751,32.7751,-97.1421,51.946953086022496,fossil,Gas,Biomass,__OTHER_OWNER__,large,lat_bin_3,lon_bin_6,0
7,15.0,2.772588722239781,9.0,36.3787,36.3787,-120.1249,24.95329850015803,renewable,Solar,__NONE__,Pacific Gas & Electric Co.,large,lat_bin_3,lon_bin_4,0
8,716.2,6.575354741730978,40.739737503490915,40.7281,40.7281,-73.9742,267.87822617045435,fossil,Gas,Oil,__OTHER_OWNER__,utility,lat_bin_4,lon_bin_8,0
9,4.5,1.7047480922384253,6.0,41.8572,41.8572,-70.5583,10.228488553430552,renewable,Solar,__NONE__,EDF Renewable Asset Holdings  Inc.,small,lat_bin_4,lon_bin_8,0
10,1.6,0.9555114450274365,107.0,37.3499,37.3499,-118.4628,102.2397246179357,renewable,Hydro,__NONE__,Southern California Edison Co,tiny,lat_bin_3,lon_bin_5,0
11,4.0,1.6094379124341003,18.0,47.3969,47.3969,-97.0606,28.969882423813804,fossil,Oil,__NONE__,__OTHER_OWNER__,small,lat_bin_5,lon_bin_6,0
12,1.5,0.9162907318741551,6.0,34.5081,34.5081,-117.3872,5.497744391244931,renewable,Solar,__NONE__,Sustainable Power Group  LLC,tiny,lat_bin_3,lon_bin_5,0
13,6.5,2.0149030205422647,8.0,36.425,36.425,-77.064,16.119224164338117,renewable,Solar,__NONE__,__OTHER_OWNER__,medium,lat_bin_3,lon_bin_8,1
14,15.9,2.827313621929028,61.9056603773588,34.9592,34.9592,-84.0876,175.02671685941863,renewable,Hydro,__NONE__,Tennessee Valley Authority,large,lat_bin_3,lon_bin_7,1
15,18.0,2.9444389791664403,51.0,44.4466,44.4466,-95.7921,150.16638793748845,fossil,Oil,__NONE__,__OTHER_OWNER__,large,lat_bin_4,lon_bin_6,0
16,46.5,3.8607297110405954,48.0,41.1269,41.1269,-74.1653,185.3150261299486,fossil,Gas,Oil,__OTHER_OWNER__,xlarge,lat_bin_4,lon_bin_8,1
17,1.5,0.9162907318741551,5.0,34.765,34.765,-117.3236,4.5814536593707755,renewable,Solar,__NONE__,__OTHER_OWNER__,tiny,lat_bin_3,lon_bin_5,0
18,9.4,2.341805806147327,94.1914893617029,39.3618,39.3618,-123.1279,220.57817667690006,renewable,Hydro,__NONE__,Pacific Gas & Electric Co.,medium,lat_bin_4,lon_bin_4,1
19,4.0,1.6094379124341003,96.0,44.6422,44.6422,-74.9765,154.50603959367362,renewable,Hydro,__NONE__,Erie Boulevard Hydropower LP,small,lat_bin_4,lon_bin_8,0
20,10.8,2.468099531471619,35.574074074073906,37.5077,37.5077,-94.8393,87.80035555475848,fossil,Gas,Oil,__OTHER_OWNER__,medium,lat_bin_3,lon_bin_6,1
21,1.5,0.9162907318741551,9.0,44.1125,44.1125,-91.9247,8.246616586867397,renewable,Wind,__NONE__,__OTHER_OWNER__,tiny,lat_bin_4,lon_bin_7,1
22,1.3,0.832909122935104,3.0,44.3682,44.3682,-73.0608,2.498727368805312,renewable,Solar,__NONE__,SoCore Energy LLC,tiny,lat_bin_4,lon_bin_8,1
23,5.3,1.840549633397487,2.0,35.325,35.325,-118.9815,3.681099266794974,renewable,Solar,__NONE__,__OTHER_OWNER__,medium,lat_bin_3,lon_bin_5,1
24,567.8,6.343528878489031,20.0,36.2454,36.2454,-88.612,126.87057756978062,fossil,Gas,Oil,Tennessee Valley Authority,utility,lat_bin_3,lon_bin_7,0
25,87.9,4.487512142519859,4.0,37.8997,37.8997,-86.7058,17.950048570079435,renewable,Hydro,__NONE__,American Mun Power-Ohio  Inc,xlarge,lat_bin_3,lon_bin_7,0
26,12.8,2.624668592163159,8.0,42.3211,42.3211,-88.0319,20.997348737305273,other,Waste,__NONE__,__OTHER_OWNER__,large,lat_bin_4,lon_bin_7,1
